sentence1,relation,relationscore,structure,structurescore
"""We need to change old habits and seriously rethink business-as-usual.""",We need to seriously rethink business-as-usual and change old habits.,4,Old habits need to change and business-as-usual seriously needs to be rethought.,5
"""These despicable acts were committed by killers whose only faith is hate,"" Bush said, adding that the United States will find the killers.","These despicable acts were committed by killers whose only faith is hate,"" Bush said, adding that the United States will find the killers.",5,"""By killers whose only faith is hate,"" Bush said, these despicable acts were committed, adding that the United States will find the killers.",4
"There are a total of 659 women enrolled at the academy, the report said.",The report said there are a total of 659 women enrolled at the academy.,4,"There are, the report said, a total of 659 women enrolled at the academy.",4
"It is a national concern that will touch virtually every American,"" Abraham said.","""It is a national concern that will touch virtually every American,"" said Abraham.",4,"""It is a national concern that will touch virtually every American,"" said Abraham.",5
"In the United States, 20.7 percent of all women smoke.",20.7 percent of all women smoke in the United States.,5,"Of all women, 20.7 percent smoke in the United States.",5
It has a margin of error of plus or minus 4 percentage points.,The margin of error is plus or minus 4 percentage points.,5,The margin of error is plus or minus 4 percentage points.,5
"Shares of MONY were gaining $2.57, or 9%, to $31.90 in after-hours trading on Instinet.","In after-hours trading on Instinet, shares of MONY were gaining $2.57, or 9%, to $31.90.",5,"In after-hours trading on Instinet, shares of MONY were gaining $2.57, or 9%, to $31.90.",5
Diana was at her lowest ebb when she wrote the letter to Paul Burrell claiming there was a plot to kill her.,"When she wrote the letter to Paul Burrell claiming there was a plot to kill her, Diana was at her lowest ebb.",5,"At her lowest ebb, Diana wrote the letter to Paul Burrell claiming there was a plot to kill her.",5
Gillespie sent a letter to CBS President Leslie Moonves asking for a historical review or a disclaimer.,A letter was sent to CBS President Leslie Moonves by Gillespie asking for a historical review or a disclaimer.,4,"A historical review or a disclaimer, Gillespie sent a letter to CBS President Leslie Moonves asking for.",3
"""Let's show we won't let them off,"" said Marc Blondel, leader of the Force Ouvriere union.","""Let's show we won't let them off,"" said Marc Blondel, leader of the Force Ouvriere union.",5,"""We won't let them off,"" said Marc Blondel, leader of the Force Ouvriere union, ""let's show.""",4
"Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come.""","Oracle intends to fully support PeopleSoft customers and products for many years to come, contrary to what PeopleSoft management would have you believe.",3,"Fully support PeopleSoft customers and products for many years to come, Oracle intends, contrary to what PeopleSoft management would have you believe.",4
"Under Mexican law, bounty hunting is considered a form of kidnapping.",Bounty hunting is considered a form of kidnapping under Mexican law.,5,Kidnapping is considered a form of bounty hunting under Mexican law.,2
The announcements were made at the International Broadcasting Convention (IBC) in Amsterdam.,The announcements were made in Amsterdam at the International Broadcasting Convention (IBC).,4,"Made at the International Broadcasting Convention (IBC) in Amsterdam, the announcements were.",4
Its keywords are supported by Chinese language Web portals.,Chinese language Web portals support its keywords.,4,Chinese language Web portals support its keywords.,5
The consensus estimate of analysts polled by Thomson First Call called for a profit of $1.70 per share.,Analysts polled by Thomson First Call estimated a profit of $1.70 per share.,4,"Analysts polled by Thomson First Call estimated a profit of $1.70 per share, based on consensus.",4
"Initial autopsy reports show they died of dehydration, hyperthermia and suffocation.","They died of dehydration, hyperthermia, and suffocation, according to initial autopsy reports.",5,"Died of dehydration, hyperthermia, and suffocation, initial autopsy reports show they did.",5
Authorities appealed to the public Friday to come forward and provide what could be the key to solving the sniper-style shootings that have killed three people outside area convenience stores.,"On Friday, authorities appealed to the public to come forward and provide what could be the key to solving the sniper-style shootings that have killed three people outside area convenience stores.",4,"Appealed to the public Friday to come forward and provide what could be the key to solving the sniper-style shootings that have killed three people outside area convenience stores, authorities did.",4
"Second comes HP (27 percent with $2.9 billion, up just 0.4 percent).","HP comes in second, with $2.9 billion (up just 0.4 percent at 27 percent).",3,"With $2.9 billion, up just 0.4 percent, HP comes second with 27 percent.",4
U.S. forces recently apprehended some 40 suspected foreign militants near the Syrian border and are now interrogating them.,Some 40 suspected foreign militants were recently apprehended near the Syrian border by U.S. forces and are now being interrogated.,5,"Recently apprehended some 40 suspected foreign militants near the Syrian border, U.S. forces are now interrogating them.",4
"That compares with a profit of $1 million, or breakeven, on $1.39 billion in revenue during the same period last year.","During the same period last year, that compares with a profit of $1 million, or breakeven, on $1.39 billion in revenue.",3,"In comparison to the same period last year, a profit of $1 million or breakeven on $1.39 billion in revenue was recorded.",4
Bolivia's army fought to stop columns of protesters from streaming into the food-starved capital on Wednesday as a popular uprising against the president spread.,Columns of protesters from streaming into the food-starved capital on Wednesday as a popular uprising against the president spread fought Bolivia's army to stop.,3,Columns of protesters were stopped from streaming into the food-starved capital by Bolivia's army on Wednesday as the president faced a popular uprising.,4
"The A920 comes with a printer, scanner, and copier for $89.","A printer, scanner, and copier comes with the A920 for $89.",4,"With a printer, scanner, and copier, the A920 comes for $89.",5
"But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.","But in the first 30 seconds after Young entered the ring, Meyers said the family knew it was an uneven match.",4,"It was an uneven match, Meyers said, but in the first 30 seconds after Young entered the ring, the family knew.",4
"Singapore reported no suspected SARS cases Wednesday, but officials quarantined 70 people who had contact with the Taiwanese patient.","No suspected SARS cases Wednesday, but officials quarantined 70 people who had contact with the Taiwanese patient Singapore reported.",1,"Officials quarantined 70 people who had contact with the Taiwanese patient, although Singapore reported no suspected SARS cases on Wednesday.",3
"Downstream at Mount Vernon, the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight, Burke said.","The Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight, Burke said downstream at Mount Vernon.",3,"The Skagit River was expected to crest at 36 feet - 8 feet above flood stage - tonight, Burke said, downstream at Mount Vernon.",5
"On Monday, the Dow declined 5.25, or 0.1 percent, at 8,983.80, having shed 2.3 percent last week.","The Dow declined 5.25, or 0.1 percent, at 8,983.80 on Monday, having shed 2.3 percent last week.",5,"Having shed 2.3 percent last week, the Dow declined 5.25, or 0.1 percent, at 8,983.80 on Monday.",4
"The injured were taken to hospitals in Jefferson City and Columbia, a college town about 30 miles to the north.","The injured were taken to hospitals in Jefferson City and Columbia, a college town to the north about 30 miles.",3,"The injured were taken to hospitals in Jefferson City and Columbia, a college town about 30 miles to the north.",5
"The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.",The dollar was up 0.1 percent at 117.85 yen against the Japanese currency.,5,"Up 0.1 percent, the dollar was at 117.85 yen against the Japanese currency.",4
"In addition to O'Connor, Rehnquist's majority opinion was joined by Justices David Souter, Ruth Bader Ginsburg, and Stephen Breyer.","Rehnquist's majority opinion was joined by Justices David Souter, Ruth Bader Ginsburg, and Stephen Breyer in addition to O'Connor.",4,"Justices David Souter, Ruth Bader Ginsburg, and Stephen Breyer joined Justice O'Connor in Rehnquist's majority opinion.",5
"Martin, 58, will be freed today after serving two thirds of his five-year sentence for the manslaughter of 16-year-old Fred Barras.","Martin, 58, will be freed today after serving two thirds of his five-year sentence for the manslaughter of Fred Barras, 16-year-old.",2,"After serving two-thirds of his five-year sentence for the manslaughter of 16-year-old Fred Barras, Martin, 58, will be freed today.",5
"IDEC shareholders would own 50.5 percent of the stock of the combined company, and Biogen shareholders the remaining 49.5 percent.","Biogen shareholders would own 50.5 percent of the stock of the combined company, and IDEC shareholders the remaining 49.5 percent.",4,The combined company's stock would be owned by IDEC shareholders at 50.5 percent and Biogen shareholders at 49.5 percent.,5
"Nonetheless, the open-source guru insisted, ""This attack was wrong, and it was dangerous to our goals.""","Nonetheless, the open-source guru insisted, ""This attack was dangerous to our goals, and it was wrong.""",4,"""This attack was wrong and dangerous to our goals,"" insisted the open-source guru, nonetheless.",4
"Frank Quattrone, the former Credit Suisse First Boston technology investment-banking guru, reportedly pleaded not guilty Tuesday to charges of obstruction of justice and witness tampering.","Frank Quattrone, the former Credit Suisse First Boston technology investment-banking guru, reportedly pleaded not guilty Tuesday to charges of witness tampering and obstruction of justice.",3,"Reportedly pleaded not guilty Tuesday to charges of obstruction of justice and witness tampering, Frank Quattrone, the former Credit Suisse First Boston technology investment-banking guru.",3
"The blue-chip Dow Jones industrial average .DJI fell 86.56 points, or 0.94 percent, to 9,109.99, after giving up more than 1 percent earlier.","The blue-chip Dow Jones industrial average .DJI fell 86.56 points, or 0.94 percent, to 9,109.99, after earlier giving up more than 1 percent.",4,"After giving up more than 1 percent earlier, the blue-chip Dow Jones industrial average .DJI fell 86.56 points or 0.94 percent to 9,109.99.",5
"The Dow Jones industrial average ended the day down 10.89 at 9,837.94, after advancing 111.04 Wednesday.","The Dow Jones industrial average ended the day down 10.89 at 9,837.94, after Wednesday advancing 111.04.",4,"Down 10.89 at 9,837.94, after advancing 111.04 Wednesday, ended the day the Dow Jones industrial average.",2
Perry has since called two special legislative sessions to try force the redistricting plan through.,Perry has since called two special legislative sessions to try to force the redistricting plan through.,4,Since called two special legislative sessions to try force the redistricting plan through has Perry.,2
"The agency will ""consider as timely any tax returns or payments due"" Aug. 15 if they are submitted by Aug. 22.",The agency will consider as timely any tax returns or payments due on Aug. 15 if they are submitted by Aug. 22.,4,"""Consider as timely any tax returns or payments due"" Aug. 15 if they are submitted by Aug. 22, will the agency.",3
Democrats currently hold a 17-15 advantage in the state's congressional delegation.,Democrats currently hold an advantage of 17-15 in the state's congressional delegation.,4,A 17-15 advantage in the state's congressional delegation currently hold Democrats.,2
"Chaudhry was released 56 days later and the Fiji military installed an all-indigenous government led by Qarase, who won democratic elections in September 2001.","Chaudhry was released 56 days later, and an all-indigenous government led by Qarase, who won democratic elections in September 2001, was installed by the Fiji military.",3,"Released 56 days later was Chaudhry, and an all-indigenous government led by Qarase, who won democratic elections in September 2001, installed the Fiji military.",3
New legit download service launches with PC users in mind.,"New legit download service launches with users in mind, specifically PC users.",4,"Launches with PC users in mind, new legit download service.",4
"The 30-year bond US30YT=RR rose 22/32 for a yield of 4.31 percent, versus 4.35 percent at Wednesday's close.","The 30-year bond US30YT=RR rose 22/32 for a yield of 4.31 percent, versus 4.35 percent at Wednesday's close.",3,"Rose 22/32 for a yield of 4.31 percent, versus 4.35 percent at Wednesday's close, the 30-year bond US30YT=RR did.",2
"Last week, his lawyers asked Gov. Mark R. Warner to grant clemency, but the governor declined to intervene.","Last week, his lawyers asked Gov. Mark R. Warner to grant clemency, but the governor declined to intervene.",2,"Governor Mark R. Warner was asked by his lawyers to grant clemency last week, but he declined to intervene.",4
Gov. Linda Lingle and members of her staff were at the Navy base and watched the launch.,Gov. Linda Lingle and members of her staff were at the Navy base and watched the launch.,4,The launch was watched by Governor Linda Lingle and her staff at the Navy base.,5
"The best the investigators can do is nitpick about the process and substance of isolated business decisions ... and question his competence as a manager.""",The best the investigators can do is nitpick about the process and substance of isolated business decisions ... and question his competence as a manager.,4,"""Nitpick about the process and substance of isolated business decisions... and question his competence as a manager"" is the best that investigators can do.",5
"The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call ""disturbing"" abuse of juveniles and ""unconscionable"" conditions at two state-run facilities.",The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call 'disturbing' abuse of juveniles and 'unconscionable' conditions at two state-run facilities.,5,"The state of Mississippi was sued by the Justice Department on Thursday for failing to end what federal officials call ""disturbing"" abuse of juveniles and ""unconscionable"" conditions at two state-run facilities.",5
The Chelsea defender Marcel Desailly has been the latest to speak out.,The Chelsea defender Marcel Desailly has been the latest to speak out.,4,The latest to speak out has been the Chelsea defender Marcel Desailly.,5
She was the only woman in her unit and a member of Teamsters Local 995.,She was the only woman in her unit and a member of Teamsters Local 995.,4,"A member of Teamsters Local 995, she was the only woman in her unit.",5
"Special police detained Khodorkovsky early on Saturday in the Siberian city of Novosibirsk, where his plane had made a refuelling stop.","Special police detained Khodorkovsky early on Saturday in the Siberian city of Novosibirsk, where his plane had made a refueling stop.",5,"Khodorkovsky was detained early on Saturday in the Siberian city of Novosibirsk by special police, where his plane had made a refuelling stop.",5
"Sony Ericsson also said it would shut down its GSM/UMTS R&D center in Munich, Germany, to increase profitability.","Sony Ericsson also said it would shut down its GSM/UMTS R&D center in Munich, Germany, to increase profitability.",5,"To increase profitability, Sony Ericsson also said it would shut down its GSM/UMTS R&D center in Munich, Germany.",5
But the country is scrambling to prevent it spreading to the vast countryside where most of its 1.3 billion people live.,But the country is scrambling to prevent it spreading to the vast countryside where most of its 1.3 billion people live.,4,"To prevent it spreading to the vast countryside where most of its 1.3 billion people live, the country is scrambling.",5
Kansas Department of Health and Environment records show there were 88 abortions performed on girls age 14 and younger last year.,"Last year, there were 88 abortions performed on girls age 14 and younger, as shown by the records of the Kansas Department of Health and Environment.",4,"On girls age 14 and younger last year, there were 88 abortions performed, Kansas Department of Health and Environment records show.",5
"""The discovery that the MAP bug is present in the vast majority of Crohn's sufferers means it is almost certainly causing the intestinal inflammation,"" it said in a statement.","It said in a statement, ""The discovery that the MAP bug is present in the vast majority of Crohn's sufferers almost certainly means it is causing the intestinal inflammation.""",4,"In a statement, it was said that the presence of the MAP bug in the vast majority of Crohn's sufferers means it is almost certainly causing the intestinal inflammation.",5
"The life expectancy for boys born in 2001 was 74.4 years, up two years since 1990.","Up two years since 1990, the life expectancy for boys born in 2001 was 74.4 years.",4,"Up two years since 1990, the life expectancy for boys born in 2001 was 74.4 years.",4
"For the full 12-month period, high-speed cable modem connections increased by 49 percent.",High-speed cable modem connections increased by 49 percent for the full 12-month period.,4,High-speed cable modem connections increased by 49 percent for the full 12-month period.,5
We believe the report is fully consistent with what the courts have ruled ... that the department's actions are fully within the law.,"The report is fully consistent with what the courts have ruled ... that the department's actions are fully within the law, we believe.",4,"Fully consistent with what the courts have ruled, we believe that the department's actions are fully within the law, the report states.",4
"Indeed, Mr. Weill, a self-described workaholic, said he planned to remain very involved in the company.","Mr. Weill, a self-described workaholic, indeed said he planned to remain very involved in the company.",2,"Mr. Weill, a self-described workaholic, said he planned to remain very involved in the company, indeed.",4
"Gregory Parseghian, a former investment banker, was appointed chief executive.","A former investment banker, Gregory Parseghian was appointed chief executive.",4,"Chief executive was appointed to Gregory Parseghian, a former investment banker.",2
"The report cites the marriage of the alleged operational commander of the Bali bombings, Mukhlas, to Farida, a ""highly cosmopolitan and well-educated young woman"".","The marriage of Mukhlas, the alleged operational commander of the Bali bombings, to Farida, a ""highly cosmopolitan and well-educated young woman,"" is cited in the report.",3,"The report cites the marriage of Farida, a ""highly cosmopolitan and well-educated young woman"", to Mukhlas, the alleged operational commander of the Bali bombings.",3
The Cradle of Liberty Council isn't the first one to buck the national group's stance.,"To buck the national group's stance, the Cradle of Liberty Council isn't the first one.",4,The Cradle of Liberty Council isn't the first one to buck the national group's stance.,5
"""It''s absurd,"" Funny Cide's trainer Barclay Tagg said.","Funny Cide's trainer Barclay Tagg said, ""It's absurd.""",4,"""It's absurd,"" said Funny Cide's trainer Barclay Tagg.",5
"Last year, Cuban officials said none of nearly two dozen nominated Cuban musicians received U.S. visas on time to attend the Grammys in Los Angeles.","None of nearly two dozen nominated Cuban musicians received U.S. visas on time to attend the Grammys in Los Angeles, Cuban officials said last year.",3,"None of nearly two dozen nominated Cuban musicians received U.S. visas on time to attend the Grammys in Los Angeles, Cuban officials said last year.",5
The American conservatives are clearly in the minority within the Episcopal Church.,"Clearly, the American conservatives are in the minority within the Episcopal Church.",4,The Episcopal Church clearly has a minority of American conservatives.,4
"The New York senator's new book, ""Living History,"" appears a certain bestseller.","The new book of the New York senator, ""Living History,"" appears a certain bestseller.",4,"A certain bestseller appears the New York senator's new book, ""Living History.""",4
"""Canada is a small country, and it needs companies like this, deals like this.""","A small country like Canada needs companies like this, deals like this.",4,"""Deals like this are needed by Canada, as it is a small country,"" said the speaker.",3
Police official S.K. Tonapi told Reuters at least 40 people had been killed and more than 100 wounded.,"At least 40 people had been killed and more than 100 wounded, Police official S.K. Tonapi told Reuters.",4,"At least 40 people had been killed and more than 100 wounded, police official S.K. Tonapi told Reuters.",5
"""Jeremy's a good guy,"" Barber said, adding: ""Jeremy is living the dream life of the New York athlete.","Barber said, ""Jeremy's a good guy,"" adding: ""Jeremy is living the dream life of the New York athlete.""",4,"""Jeremy is living the dream life of the New York athlete,"" said Barber, adding that he is a good guy.",4
"But Mitsubishi Tokyo Financial (JP:8306: news, chart, profile) declined 3,000 yen, or 0.65 percent, to 456,000 yen.","Mitsubishi Tokyo Financial (JP:8306: news, chart, profile) declined to 456,000 yen, or 0.65 percent, a decrease of 3,000 yen.",3,"Declined 3,000 yen, or 0.65 percent, to 456,000 yen, Mitsubishi Tokyo Financial (JP:8306: news, chart, profile) did.",3
"About 1,557 genes on chromosome 6 are thought to be functional.","Chromosome 6 is thought to have about 1,557 functional genes.",4,"Thought to be functional are about 1,557 genes on chromosome 6.",4
"In the second quarter, Anadarko now expects volume of 46 million BOE, down from 48 million BOE.","Anadarko now expects volume of 46 million BOE in the second quarter, down from 48 million BOE.",3,"Now expects volume of 46 million BOE, down from 48 million BOE, Anadarko does in the second quarter.",4
"U.S. troops encountered no resistance during the five-hour sweep near Tikrit, Saddam Hussein's hometown and the center of a region of Baath Party supporters.","During the five-hour sweep near Tikrit, Saddam Hussein's hometown and the center of a region of Baath Party supporters, U.S. troops encountered no resistance.",4,"During the five-hour sweep near Tikrit, Saddam Hussein's hometown and the center of a region of Baath Party supporters, U.S. troops encountered no resistance.",5
"Miodrag Zivkovic, of the Liberal Alliance of Montenegro, won 31 percent of the vote while the independent Dragan Hajdukovic got four percent.","The independent Dragan Hajdukovic got four percent while Miodrag Zivkovic, of the Liberal Alliance of Montenegro, won 31 percent of the vote.",3,"31 percent of the vote was won by Miodrag Zivkovic, of the Liberal Alliance of Montenegro, while four percent was obtained by the independent Dragan Hajdukovic.",5
"In the year-ago period, Pearson posted a 26 million pre-tax profit.",Pearson posted a pre-tax profit of 26 million in the year-ago period.,4,Posted by Pearson in the year-ago period was a pre-tax profit of 26 million.,5
"Through Thursday, Oracle said 34.75 million PeopleSoft shares had been tendered.",Oracle said 34.75 million PeopleSoft shares had been tendered through Thursday.,4,Tendered by Oracle were 34.75 million PeopleSoft shares through Thursday.,4
Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.,"Before selling the chain to Safeway in 1998 for $2.5 billion, Yucaipa owned Dominick's.",3,Dominick's was owned by Yucaipa before it was sold to Safeway in 1998 for $2.5 billion.,5
"Graves reported from Albuquerque, Villafranca from Austin and Ratcliffe from Laredo.","Villafranca reported from Austin, Ratcliffe from Laredo, and Graves from Albuquerque.",4,"From Albuquerque, Graves reported, from Austin Villafranca, and from Laredo Ratcliffe reported.",5
"A 25 percent increase would raise undergraduate tuition to about $5,247 annually, including miscellaneous, campus-based fees.","Undergraduate tuition would be raised to about $5,247 annually, including miscellaneous, campus-based fees, with a 25 percent increase.",4,"Raising undergraduate tuition to about $5,247 annually, including miscellaneous, campus-based fees, a 25 percent increase would do.",4
Authorities said the scientist properly quarantined himself at home after he developed SARS symptoms Dec. 10.,"After he developed SARS symptoms Dec. 10, the scientist properly quarantined himself at home, according to authorities.",5,"Properly quarantined himself at home after he developed SARS symptoms Dec. 10, the scientist, authorities said.",2
The support will come as a free software upgrade called WebVPN for current customers that have support contracts.,A free software upgrade called WebVPN will be provided as support for current customers with support contracts.,4,Current customers with support contracts will receive the support as a free software upgrade called WebVPN.,5
Hilsenrath and Klarman each were indicted on three counts of securities fraud.,Hilsenrath and Klarman were indicted on three counts of securities fraud each.,4,"Indicted on three counts of securities fraud were Hilsenrath and Klarman, each.",4
The new sensor -- dubbed CANARY for ''cellular analysis and notification of antigen risks and yields'' -- hijacks this natural process with two important changes.,"With two important changes, the new sensor hijacks this natural process and is dubbed CANARY for ''cellular analysis and notification of antigen risks and yields''.",4,"With two important changes, the new sensor, called CANARY for ""cellular analysis and notification of antigen risks and yields,"" hijacks this natural process.",5
"One, Fort Carson-based Sgt. Ernest Bucklew, 33, had been on his way home to attend his mother's funeral in Pennsylvania.","In Pennsylvania, one, Fort Carson-based Sgt. Ernest Bucklew, 33, had been on his way home to attend his mother's funeral.",3,"Sgt. Ernest Bucklew, 33, based in Fort Carson, was on his way home to attend his mother's funeral in Pennsylvania.",5
Waksal has pleaded guilty to securities fraud and is to be sentenced next week.,"Next week, Waksal has pleaded guilty to securities fraud and is to be sentenced.",3,"To be sentenced next week is Waksal, who has pleaded guilty to securities fraud.",4
The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.,RealNetworks' Rhapsody music service comes with a 30-day trial and the device plays Internet radio streams.,5,"Coming with a 30-day trial of RealNetworks' Rhapsody music service, the device plays Internet radio streams.",5
"The dollar fell as low as $1.1624 per euro from $1.1486 on Friday, and traded at $1.1594 at 10:15 a.m. in London.","In London, the dollar fell as low as $1.1624 per euro from $1.1486 on Friday, and traded at $1.1594 at 10:15 a.m.",4,"As low as $1.1624 per euro from $1.1486 on Friday, the dollar fell and traded at $1.1594 at 10:15 a.m. in London.",3
"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.",Morales expressed 'sincere regrets and remorse' for his actions during the hearing.,5,"""Sincere regrets and remorse"" for his actions, Morales expressed during the hearing.",5
"Site Finder has been visited 65 million times since its introduction, Galvin said.",Galvin said Site Finder has been visited 65 million times since its introduction.,4,"Visited 65 million times since its introduction has Site Finder, Galvin said.",3
"According to SunnComm's Peter Jacobs, ""MediaMax performs exactly as 'advertised' to the companies who purchased it.","'MediaMax performs exactly as 'advertised' to the companies who purchased it, according to SunnComm's Peter Jacobs.",5,"""MediaMax performs exactly as 'advertised' to the companies who purchased it,"" said Peter Jacobs of SunnComm.",5
He was tracked to Atlanta where he was arrested on Tuesday night.,He was arrested on Tuesday night in Atlanta where he was tracked.,3,He was arrested on Tuesday night in Atlanta where he was tracked.,5
The Bush administration blames Hussein loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops for the wave of bombings and guerrilla attacks.,"For the wave of bombings and guerrilla attacks, the Bush administration blames Hussein loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops.",5,"The wave of bombings and guerrilla attacks, the Bush administration blames on Hussein loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops.",4
It later emerged that he had broken his right thigh and bones in his right wrist and elbow.,It later emerged that he had broken bones in his right wrist and elbow and his right thigh.,4,That he had broken his right thigh and bones in his right wrist and elbow later emerged.,5
The Senate agreed Tuesday to lift a 10-year-old ban on the research and development of low-yield nuclear weapons.,A 10-year-old ban on the research and development of low-yield nuclear weapons was lifted by the Senate on Tuesday.,4,"To lift a 10-year-old ban on the research and development of low-yield nuclear weapons, the Senate agreed Tuesday.",5
Some 95 million Americans -- half of all households -- invest in mutual funds.,Mutual funds are invested in by some 95 million Americans -- half of all households.,4,"Half of all households, some 95 million Americans, invest in mutual funds.",5
"The House has passed prescription-drug legislation in the last two sessions, but the Senate has failed to do so.","Prescription-drug legislation has been passed by the House in the last two sessions, but the Senate has failed to do so.",4,"Prescription-drug legislation has been passed by the House in the last two sessions, but the Senate has failed to do so.",5
The elderly and those with weakened immune systems are also urged to protect against mosquito bites.,Protection against mosquito bites is also urged for the elderly and those with weakened immune systems.,4,Urged to protect against mosquito bites are the elderly and those with weakened immune systems.,3
"Ms Lafferty's lawyer, Thomas Ezzell, told a Kentucky newspaper: ""My understanding of this is that there is a lower percentage of successful impregnations with frozen.","A lower percentage of successful impregnations with frozen is what Ms Lafferty's lawyer, Thomas Ezzell, told a Kentucky newspaper about.",3,"""There is a lower percentage of successful impregnations with frozen,"" said Ms Lafferty's lawyer, Thomas Ezzell, to a Kentucky newspaper.",5
"Klarman was arrested by FBI agents in the Hamptons, an exclusive summer resort enclave east of New York City.","FBI agents arrested Klarman in the Hamptons, an exclusive summer resort enclave east of New York City.",5,"FBI agents arrested Klarman in the Hamptons, an exclusive summer resort enclave east of New York City.",5
The bishop told police he thought he had hit a dog or a cat or that someone had thrown a rock at his vehicle.,The bishop told police that he thought a dog or a cat had been hit or that someone had thrown a rock at his vehicle.,4,"He thought he had hit a dog or a cat or that someone had thrown a rock at his vehicle, the bishop told police.",5
"A promotional poster, complete with countdown dial, reminds readers of the upcoming release of ""Harry Potter and the Order of the Phoenix.""","Readers are reminded of the upcoming release of 'Harry Potter and the Order of the Phoenix' by a promotional poster, complete with countdown dial.",4,"Reminding readers of the upcoming release of ""Harry Potter and the Order of the Phoenix,"" a promotional poster, complete with countdown dial.",5
"""Further testing is still under way, but at this stage, given the early detection, the outlook in such instances would be positive,"" the specialist said yesterday.","The specialist said yesterday that 'further testing is still under way, but at this stage, given the early detection, the outlook in such instances would be positive.'",4,"""At this stage, given the early detection, the outlook in such instances would be positive,"" said the specialist yesterday. Further testing is still under way.",4
"In morning trading, the Dow Jones industrial average was up 40.12, or 0.5 percent, at 8,571.69, having fallen 51 points Monday.","Having fallen 51 points on Monday, in morning trading, the Dow Jones industrial average was up 40.12, or 0.5 percent, at 8,571.69.",3,"The Dow Jones industrial average was up 40.12, or 0.5 percent, at 8,571.69 in morning trading, having fallen 51 points Monday.",5
"Rich media doubled its share, increasing from 3% in Q2 2002 to 6% in Q2 2003.","Increasing from 3% in Q2 2002 to 6% in Q2 2003, rich media doubled its share.",4,"Doubling its share, rich media increased from 3% in Q2 2002 to 6% in Q2 2003.",5
"It will take time to oust die-hard remnants of Saddam Hussein's deposed regime in Iraq, Defense Secretary Donald H. Rumsfeld said Tuesday.",Defense Secretary Donald H. Rumsfeld said Tuesday that it will take time to oust die-hard remnants of Saddam Hussein's deposed regime in Iraq.,4,"It will take time, said Defense Secretary Donald H. Rumsfeld on Tuesday, to oust die-hard remnants of Saddam Hussein's deposed regime in Iraq.",4
"Sayliyah was the command base for the Iraq war, but Central Command sent hundreds who ran the war back home to Tampa, Florida.","Central Command sent hundreds who ran the war back home to Tampa, Florida, but Sayliyah was the command base for the Iraq war.",4,"Command base for the Iraq war, Sayliyah, sent hundreds who ran the war back home to Tampa, Florida, but Central Command was.",3
SCO says the pricing terms for a license will not be announced for weeks.,"The pricing terms for a license will not be announced for weeks, SCO says.",4,"The pricing terms for a license, SCO says, will not be announced for weeks.",5
Sources within the racing industry have told the Daily Bulletin that Fontana will get a second NASCAR race on Labor Day weekend starting next season.,The Daily Bulletin has been told by sources within the racing industry that Fontana will get a second NASCAR race on Labor Day weekend starting next season.,4,"Fontana will get a second NASCAR race on Labor Day weekend starting next season, sources within the racing industry have told the Daily Bulletin.",5
"The Dow Jones industrial average .DJI ended up 56.79 points, or 0.67 percent, at 8,588.36 -- its highest level since January 17.","Ending up 56.79 points, or 0.67 percent, at 8,588.36 -- its highest level since January 17, the Dow Jones industrial average .DJI.",4,"Ending up 56.79 points, or 0.67 percent, at 8,588.36 -- its highest level since January 17, the Dow Jones industrial average .DJI did.",3
"Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, had begun to read the Bible daily.","Having begun to read the Bible daily, Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums.",4,"After getting kicked off the University of New Mexico Lobos for temper tantrums, Dennehy had begun to read the Bible daily, and transferred to Baylor last year.",3
"Bashir felt he was being tried by opinion not on the facts, Mahendradatta told Reuters.",Mahendradatta told Reuters that Bashir felt he was being tried by opinion not on the facts.,4,Mahendradatta told Reuters that Bashir felt he was being tried by opinion not on the facts.,5
Schofield got Toepfer to admit on cross-examination that she ignored many of O'Donnell's suggestions and projects.,"On cross-examination, Schofield got Toepfer to admit that she ignored many of O'Donnell's suggestions and projects.",4,"On cross-examination, Schofield got Toepfer to admit that she ignored many of O'Donnell's suggestions and projects.",5
"In that case, the court held that Cincinnati had violated the First Amendment in banning only the advertising pamphlets in the interest of aesthetics.",The court held in that case that Cincinnati had violated the First Amendment in banning only the advertising pamphlets in the interest of aesthetics.,4,"In banning only the advertising pamphlets in the interest of aesthetics, the court held that Cincinnati had violated the First Amendment in that case.",5
