sentence1,relation,relationscore,structure,structurescore
A photographer is being surrounded by men,Men are surrounding a photographer,3,Men are surrounding a photographer.,5
A man in a elegant dress is being surrounded by photographers,Photographers are surrounding a man in an elegant dress,3,Photographers are surrounding a man in an elegant dress.,5
The man surrounded by men with a camera is wearing a gray suit and glasses,The man wearing a gray suit and glasses is surrounded by men with a camera,4,"Wearing a gray suit and glasses, the man with a camera is being surrounded by men.",4
The woman surrounded by photographers is wearing a gray suit and glasses,A gray suit and glasses are worn by the woman surrounded by photographers,4,Wearing a gray suit and glasses is the woman surrounded by photographers.,5
Children in swimming suits are not playing in the water,Children in swimming suits are playing in the water,2,Playing in the water are not the children in swimming suits.,3
The kids are wearing bathing suits and water is splashing around,Water is splashing around and the kids are wearing bathing suits,3,Water is splashing around as the kids wearing bathing suits play.,4
Children in swimming suits are playing in the water,Children are playing in the water wearing swimming suits,4,"In the water, children wearing swimming suits are playing.",3
Children in swimming suits are playing in the pool,Children are playing in the pool wearing swimming suits,4,Playing in the pool are the children in swimming suits.,5
People are dangling from straps and kicking at each other,People are kicking at each other while dangling from straps,3,"Kicking at each other, people are dangling from straps.",4
A girl is hanging by gymnastic ropes,A girl is hanging from gymnastic ropes,4,"By gymnastic ropes, a girl is hanging.",4
A blonde man is hanging by gymnastic ropes,A blonde man is hanging from gymnastic ropes,4,"By gymnastic ropes, a blonde man is hanging.",4
A man dressed in black and white is holding up the tennis racket and is waiting for the ball,A man dressed in black and white is waiting for the ball while holding up the tennis racket,4,"Waiting for the ball, the man dressed in black and white is holding up the tennis racket.",4
A tennis player in mid game is holding a racquet,A tennis player in mid game is holding a racquet,5,Holding a racquet is a tennis player in mid-game.,5
A brown and white dog is playing on the grass,Playing on the grass is a brown and white dog.,4,Playing on the grass is a brown and white dog.,5
A dog is playing on the green grass,Playing on the green grass is a dog.,4,"On the green grass, a dog is playing.",2
A tan skinned kid is looking at the camera,Looking at the camera is a tan skinned kid.,4,Looking at the camera is a tan skinned kid.,5
There is no tan skinned child looking at the camera,Looking at the camera is no tan skinned child.,1,There is no child with tan skin looking at the camera.,1
A little boy with a bib is not watching the camera,Not watching the camera is a little boy with a bib.,1,Not watching the camera is a little boy with a bib.,5
A young boy with a bib is watching the camera,Watching the camera is a young boy with a bib.,4,Watching the camera is a young boy with a bib.,5
A young boy in the blue shirt is jumping into the water,Jumping into the water is a young boy in the blue shirt.,4,Jumping into the water is a young boy in the blue shirt.,5
The young boy in the blue shirt is not jumping into the water,Not jumping into the water is the young boy in the blue shirt.,1,Not jumping into the water is the young boy in the blue shirt.,2
A young boy is diving into a still lake,Diving into a still lake is a young boy.,5,Diving into a still lake is a young boy.,5
The young boy in the blue shirt is jumping into the water,The boy in the blue shirt is jumping into the water,3,Jumping into the water is the young boy in the blue shirt.,4
A young boy is jumping into a still lake,A young boy is jumping into the lake,4,"Into a still lake, a young boy is jumping.",2
Two people are carrying colorful baskets and blankets and walking near a building,Two people are carrying colorful baskets and blankets near a building,4,Walking near a building are two people carrying colorful baskets and blankets.,4
Two people are sitting with laden baskets and blankets,Two people are sitting with baskets and blankets,3,"Laden with baskets and blankets, two people are sitting.",5
A young girl is sitting in a swimsuit,A girl is sitting in a swimsuit,4,Sitting in a swimsuit is a young girl.,4
"A young boy is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swim goggles on her head","A boy is wearing a blue patterned swim suit, a black and yellow swim cap, and has blue swim goggles on his head",4,"With a black and yellow swim cap on her head, a young boy is wearing a blue patterned swim suit and blue swim goggles.",4
"A little girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on the head","A girl is wearing a blue patterned swim suit, a black and yellow swim cap, and has blue swimming goggles on her head",4,"Wearing a blue patterned swim suit, a black and yellow swim cap, and blue swimming goggles on the head is a little girl.",5
A dog is running on a snowy road,A dog is running on a road covered in snow,4,"On a snowy road, a dog is running.",4
A dog is running on a muddy path,A dog is running on a path covered in mud,4,"On a muddy path, a dog is running.",4
A brown dog is running through a snowy trail,A dog is running through a snowy trail,4,Running through a snowy trail is a brown dog.,4
A brown dog is running through a snowy path,A snowy path is being run through by a brown dog,2,Running through a snowy path is a brown dog.,2
A white dog is running through a snowy trail,A snowy trail is being run through by a white dog,2,"Through a snowy trail, a white dog is running.",2
Two boys in white outfits and red protective gear are sparring on a mat,Two boys are sparring on a mat in white outfits and red protective gear,3,"On a mat, two boys are sparring in white outfits and red protective gear.",4
Two boys are doing martial arts on a green mat,"On a green mat, two boys are doing martial arts",3,Doing martial arts on a green mat are two boys.,3
Two kids are doing martial arts on a blue mat,"On a blue mat, two kids are doing martial arts",2,Martial arts are being performed by two kids on a blue mat.,3
Two boys are doing martial arts on a blue mat,"On a blue mat, two boys are doing martial arts",2,"On a blue mat, two boys are performing martial arts.",3
A black and white dog is playing with a broken volleyball,Playing with a broken volleyball is a black and white dog,2,Playing with a broken volleyball is a black and white dog.,2
A black and white dog is playing with a frisbee in a brown field,Playing with a frisbee in a brown field is a black and white dog,3,"In a brown field, a frisbee is being played with by a black and white dog.",3
A black and white dog is playing with a tattered volleyball in a brown field,Playing with a tattered volleyball in a brown field is a black and white dog,2,"In a brown field, a tattered volleyball is being played with by a black and white dog.",3
A young boy in a helmet is riding a bike on the road,Riding a bike on the road is a young boy in a helmet,4,Riding a bike on the road is a young boy in a helmet.,3
A young boy in a helmet is riding a bike on the lawn,"On the lawn, a bike is being ridden by a young boy in a helmet",5,Riding a bike on the lawn is a young boy in a helmet.,5
The little boy is riding a bicycle in a race,"In a race, a bicycle is being ridden by the little boy",4,"In a race, a little boy is riding a bicycle.",5
A bicycle is being ridden by the little boy in a race,"In a race, the little boy is riding a bicycle",4,The little boy is riding a bicycle in a race.,5
A woman is being smeared with brown substance and a blurry crowd is in the background,"In the background, a blurry crowd is present while a woman is being smeared with brown substance",4,"In the background, a blurry crowd is watching as a woman is being smeared with a brown substance.",4
A topless woman is being smeared with brown substance and a nobody is in the background,"In the background, a nobody is present while a topless woman is being smeared with brown substance",3,Nobody is in the background as a topless woman is being smeared with a brown substance.,2
A topless woman is being covered in mud,"In mud, a topless woman is being covered",3,Covered in mud is a topless woman.,5
Two boys and a man are playing games at an arcade,"At an arcade, games are being played by two boys and a man",4,"At an arcade, two boys and a man are playing games.",4
Two kids and a man are playing games at an arcade,"At an arcade, games are being played by two kids and a man",3,"At an arcade, two kids and a man are playing games.",4
A family is not purchasing something at a vending machine,"At a vending machine, something is not being purchased by a family",3,Refusing to purchase something at a vending machine is a family.,3
A female cheerleader is jumping on the knee of a male cheerleader,"On the knee of a male cheerleader, a female cheerleader is jumping",4,A male cheerleader is jumping on the knee of a female cheerleader.,2
Some cheerleaders are taking a break,Taking a break are some cheerleaders,4,"Taking a break, some cheerleaders are.",5
A female cheerleader is sitting on the knee of a male cheerleader,Sitting on the knee of a male cheerleader is a female cheerleader,4,"On the knee of a male cheerleader, a female cheerleader is sitting.",2
A group of people is holding drinks and pointing at the camera,Holding drinks and pointing at the camera is a group of people,4,"Pointing at the camera, a group of people holding drinks is.",4
Several young people are posing for a photo and holding beers,Posing for a photo and holding beers are several young people,4,"Holding beers, several young people are posing for a photo.",5
A girl with red hair and red eyebrows is talking,Talking is a girl with red hair and red eyebrows,4,"Talking, the girl with red hair and red eyebrows is.",5
A girl with red hair and red eyebrows is in midspeech,In midspeech is a girl with red hair and red eyebrows,4,"In midspeech, a girl with red hair and red eyebrows is.",5
A woman in blue has a yellow ball in the mitt,In the mitt is a woman in blue with a yellow ball,4,"In the mitt, a yellow ball is held by a woman in blue.",4
The girl in blue is chasing the base runner with a number on the jersey,Chasing the base runner with a number on the jersey is the girl in blue,4,"Chasing the base runner with a number on the jersey, the girl in blue is.",5
The young man is not rock climbing,Not rock climbing is the young man,4,"Rock climbing, the young man is not.",2
A man in a purple hat is climbing a rocky wall with bare hands,Climbing a rocky wall with bare hands is a man in a purple hat,4,"With bare hands, a man in a purple hat is climbing a rocky wall.",5
A man in a purple hat isn't climbing a rocky wall with bare hands,A rocky wall with bare hands isn't climbed by a man in a purple hat,4,"Climbing a rocky wall with bare hands, isn't a man in a purple hat.",5
A rocky wall is climbed by a man in a purple hat with bare hands,A man in a purple hat with bare hands climbs a rocky wall,4,"With bare hands, a man in a purple hat climbs a rocky wall.",4
A blond woman is sitting on the roof of a yellow vehicle and two people are inside,Two people are inside a yellow vehicle and a blond woman is sitting on the roof,5,"Inside a yellow vehicle, two people are, while a blond woman sits on its roof.",4
Two people are driving a jeep and a lady is sitting on the top of it,A lady is sitting on the top of a jeep and two people are driving it,4,"Sitting on the top of it, is a lady, while two people drive a jeep.",5
A large brown cat is jumping over a red hurdle,A red hurdle is jumped over by a large brown cat,5,Jumping over a red hurdle is a large brown cat.,3
"A brown and white dog is jumping over a red, yellow and white hurdle","A red, yellow and white hurdle is jumped over by a brown and white dog",5,"Over a red, yellow and white hurdle, a brown and white dog is jumping.",5
"A brown and white dog is passing under a red, yellow and white hurdle","A red, yellow and white hurdle is passed under by a brown and white dog",3,"Passing under a red, yellow and white hurdle is a brown and white dog.",4
A yellow dog is drinking water from the faucet,Water from the faucet is being drunk by a yellow dog,4,"Drinking water from the faucet, is a yellow dog.",5
The yellow dog is drinking water from a bottle,Water from a bottle is being drunk by the yellow dog,4,"From a bottle, the yellow dog is drinking water.",4
The yellow dog is drinking water from a container,Water from a container is being drunk by the yellow dog,5,"From a container, the yellow dog is drinking water.",4
Adults and children standing and playing in front of steps near a wooded area,A wooded area near the steps with adults and children standing and playing,4,"In front of a wooded area, standing and playing, adults and children are.",4
Adults and children are standing and playing in front of steps near a desert area,A desert area near the steps with adults and children standing and playing,2,"In front of a desert area, adults and children are standing and playing.",3
The adults and children are being grouped near an outdoor seating arrangement,An outdoor seating arrangement near the grouped adults and children,4,An outdoor seating arrangement is where the adults and children are being grouped.,5
The adults and children are not gathered near an outdoor seating arrangement,An outdoor seating arrangement not near the gathered adults and children,2,The adults and children are not gathered near an outdoor seating arrangement.,2
The adults and children are being gathered near an outdoor seating arrangement,An outdoor seating arrangement near the gathered adults and children,4,"Near an outdoor seating arrangement, the adults and children are being gathered.",4
A bride with a white dress is looking down,"Looking down, a bride with a white dress",5,"Looking down, a bride with a white dress is.",4
A bride with a black veil is looking down,"Looking down, a bride with a black veil",3,"Looking down, a bride with a black veil is.",4
A woman is looking down and is wearing a wedding dress,"Wearing a wedding dress, a woman is looking down",4,"Wearing a wedding dress, a woman is looking down.",5
A girl has black and orange patches on the cheeks,Black and orange patches on the cheeks of a girl,5,The girl's cheeks have black and orange patches.,5
There is no girl with black and orange patches on the cheeks,No girl with black and orange patches on the cheeks,1,There is no girl with black and orange patches on her cheeks.,2
A girl is standing in a group and is wearing a black shirt and pink beads,A black shirt and pink beads girl is standing in a group and is wearing,4,"Wearing a black shirt and pink beads, a girl is standing in a group.",5
Two large dogs are frolicking in a grassy field,"In a grassy field, two large dogs are frolicking",5,"In a grassy field, two large dogs are frolicking.",5
Two dogs are running through high grass,"Through high grass, two dogs are running",5,"Through high grass, two dogs are running.",5
Two large dogs are frolicking in a field,"In a field, two large dogs are frolicking",5,"In a field, two large dogs are frolicking.",5
A white dog is running across a rocky landscape,"Across a rocky landscape, a white dog is running",5,"Across a rocky landscape, a white dog is running.",5
A black dog is walking along rocky terrain,"Along rocky terrain, a black dog is walking",5,"Along rocky terrain, a black dog is walking.",5
A black dog is running across a rocky landscape,"Across a rocky landscape, a black dog is running",5,"Across a rocky landscape, a black dog is running.",5
Some young dirt bikers are getting a dirt bike up a sandy hill,"Up a sandy hill, some young dirt bikers are getting a dirt bike",4,"Up a sandy hill, some young dirt bikers are getting a dirt bike.",4
A young man is pushing a motocross bike up a dirt hill,"Up a dirt hill, a young man is pushing a motocross bike",5,"Up a dirt hill, a motocross bike is being pushed by a young man.",4
A young man and a woman are riding bikes on the boardwalk near the ocean,"On the boardwalk near the ocean, a young man and a woman are riding bikes",4,"Near the ocean on the boardwalk, a young man and a woman are riding bikes.",5
Pedestrians and cars are moving through a traffic jam in a big city,A traffic jam in a big city is moving through pedestrians and cars,3,A traffic jam is being navigated by pedestrians and cars in a big city.,5
Some people and vehicles are on a crowded street,"On a crowded street, some vehicles and people are",3,A crowded street has some people and vehicles on it.,5
Pedestrians and cars are moving through a traffic jam in a small city,A traffic jam in a small city is moving through pedestrians and cars,3,Pedestrians and cars are moving through a traffic jam in a small city.,5
Some people and vehicles are on a almost empty street,"On an almost empty street, some vehicles and people are",3,An almost empty street has some people and vehicles on it.,4
Two brown and white dogs are fighting on a grassy area in front of a tree,"On a grassy area in front of a tree, two brown and white dogs are fighting",4,"On a grassy area in front of a tree, two brown and white dogs are fighting.",3
Two dogs are playing inside,"Inside, two dogs are playing",4,"Inside, two dogs are playing.",2
Two brown and white dogs are fighting on a grassy area in front of a plant,"On a grassy area in front of a plant, two brown and white dogs are fighting",4,"On a grassy area in front of a plant, two brown and white dogs are fighting.",3
A soccer player is sitting on the field and is drinking water,"On the field, a soccer player is sitting and is drinking water",4,"Drinking water, a soccer player is sitting on the field.",4
A man is sitting on the grass and drinking from a water bottle,"On the grass, a man is sitting and drinking from a water bottle",4,"Drinking from a water bottle, a man is sitting on the grass.",4
A dog is running on the sea shore,"On the sea shore, a dog is running",5,"On the sea shore, a dog is running.",5
The dog is running through the dry sand,The dry sand is running through the dog,0,"Through the dry sand, the dog is running.",4
The dog is running through the wet sand,The wet sand is running through the dog,0,"Through the wet sand, the dog is running.",4
A chubby faced boy is wearing sunglasses,Sunglasses are being worn by a chubby faced boy,3,Sunglasses are being worn by a chubby faced boy.,5
Children are being dressed in costumes and playing a game,Costumes are being dressed in by children and playing a game,3,"Playing a game, children are being dressed in costumes.",4
Kids are being dressed in costumes and playing a game,Costumes are being dressed in by kids and playing a game,3,"Playing a game, kids are being dressed in costumes.",3
A young girl with painted face is standing next to some other children,Some other children are standing next to a young girl with painted face,4,Some other children are standing next to a young girl with a painted face.,5
Dogs are racing on a track,"On a track, dogs are racing",4,"On a track, dogs are racing.",4
A horse is not racing,Not racing is a horse,2,Not racing is a horse.,1
A horse is racing,Racing is a horse,4,A horse is racing.,0
Two bmx bikers are jumping dirt ramps in front of the water,Dirt ramps in front of the water are being jumped by two bmx bikers,4,"In front of the water, two BMX bikers are jumping dirt ramps.",5
Some bikers are doing acrobatics on a track near water and a skyline,"A skyline and water near a track, some bikers are doing acrobatics",5,"Near water and a skyline, some bikers are doing acrobatics on a track.",5
Some bikers are getting airborne on a track near water and a skyline,"A skyline and water near a track, some bikers are getting airborne",5,"Getting airborne on a track near a skyline and water, some bikers are.",5
Two bmx bikers are jumping dirt ramps in front of a body of water,"In front of a body of water, two bmx bikers are jumping dirt ramps",5,"In front of a body of water, two BMX bikers are jumping dirt ramps.",5
A man is doing a trick on a skateboard,"On a skateboard, a man is doing a trick",5,A trick on a skateboard is being performed by a man.,5
A man is doing a skateboard trick on an outdoor park porch,"On an outdoor park porch, a man is doing a skateboard trick",5,"On an outdoor park porch, a man is doing a skateboard trick.",5
A man is doing a skateboard trick on a park porch,"On a park porch, a man is doing a skateboard trick",5,"On a park porch, a man is performing a skateboard trick.",5
A woman is doing a skateboard trick on an outdoor park porch,"On an outdoor park porch, a woman is doing a skateboard trick",5,"On an outdoor park porch, a woman is doing a skateboard trick.",5
A man in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle,"Wearing a helmet with sponsor logos, a man in full gear is riding a red sport motorcycle",5,"Riding a red sport motorcycle, a man in full gear is wearing a helmet with sponsor logos.",5
A racer in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle,"Wearing a helmet with sponsor logos, a racer in full gear is riding a red sport motorcycle",5,"Wearing a helmet with sponsor logos, a racer in full gear is riding a red sport motorcycle.",5
People are sitting at square tables in a red room,"In a red room, people are sitting at square tables",5,"In a red room, people are sitting at square tables.",5
Several people are sitting at small tables in a light room,A light room is sitting at several small tables in front of people,0,"In a light room, several small tables are occupied by people.",5
Several people are sitting at small tables in a darkened room,A darkened room is sitting at several small tables in front of people,0,"In a darkened room, several small tables are occupied by people.",5
A boy is jumping off the side of a water fountain made of stone in front of a building,A building is jumping off the side of a water fountain made of stone in front of a boy,0,Jumping off the side of a stone water fountain in front of a building is a boy.,3
A boy in a striped shirt is jumping in front of a water fountain,A water fountain is jumping in front of a boy in a striped shirt,0,"In front of a water fountain, a boy in a striped shirt is jumping.",5
A boy is jumping off the side of a stone water fountain in front of a building,A building is jumping off the side of a stone water fountain in front of a boy,0,"In front of a building, a boy jumps off the side of a stone water fountain.",5
"Two large dogs, a light colored one and a dark one, are quickly moving through snowy terrain","Snowy terrain is quickly moving through two large dogs, a light colored one and a dark one",0,"Quickly moving through snowy terrain are two dogs, one light colored and one dark.",3
Two dogs are jumping through snowy grass and rocks,Snowy grass and rocks are jumping through two dogs,0,"Through snowy grass and rocks, two dogs are jumping.",5
There is no dog leaping through snowy grass and rocks,Snowy grass and rocks are leaping through no dog,0,No dog is leaping through snowy grass and rocks.,5
A girl in blue is sliding down a green slide,A green slide is sliding down a girl in blue,0,Sliding down a green slide is a girl in blue.,5
The young girl in blue is having fun on a slide,A slide is having fun on the young girl in blue,0,Having fun on a slide is the young girl in blue.,5
A black man is walking next to a shop in a big city,A shop in a big city is walking next to a black man,2,Walking next to a shop in a big city is a black man.,5
A black man is walking next to a building in a big city,A building in a big city is walking next to a black man,2,Walking next to a building in a big city is a black man.,5
There is no man playing guitar next to a drummer,There is no drummer playing guitar next to a man,1,"Next to a drummer, no man is playing guitar.",2
A black dog is jumping off a dock into a pond,A pond is jumping off a dock into a black dog,0,Jumping into a pond off a dock is a black dog.,5
A black dog is jumping from a dock into the water,The water is jumping from a dock into a black dog,0,Jumping into the water from a dock is a black dog.,5
A black dog is jumping off a dock into water,Water is jumping off a dock into a black dog,0,Jumping into water off a dock is a black dog.,5
A little girl is smiling and running out of the house,"Out of the house, a little girl is smiling and running",4,"Out of the house, a little girl is running and smiling.",5
A little girl is smiling and running outside,"Outside, a little girl is smiling and running",4,"Running outside, a little girl is smiling.",5
A skier in black is catching a tiny bit of air,A tiny bit of air is catching a skier in black,0,Catching a tiny bit of air is a skier in black.,5
A skier in white is catching a tiny bit of air,A tiny bit of air is catching a skier in white,0,Catching a tiny bit of air is a skier in white.,5
A man is skiing down a snowy mountain,A snowy mountain is being skied down by a man,5,"Down a snowy mountain, a man is skiing.",5
A skier dressed in black is catching a tiny bit of air,A tiny bit of air is being caught by a skier dressed in black,5,"Catching a tiny bit of air, a skier dressed in black is.",4
A man is skiing down a snowy hill,A snowy hill is being skied down by a man,5,"Down a snowy hill, a man is skiing.",5
A child is playing slip and slide in the grass,"In the grass, a child is playing slip and slide",5,"In the grass, a child is playing slip and slide.",5
A child is splashing in a pool for children and other kids are playing in the background,"In the background, other kids are playing while a child is splashing in a pool for children",5,"In the background, other kids are playing while a child splashes in a pool for children.",4
Two men are looking out and binoculars are being held by one of them,Binoculars are being held by one of them while two men are looking out,5,One of the two men is holding binoculars while they look out.,5
Two men are standing together and one is looking through binoculars,One is looking through binoculars while two men are standing together,5,"Together, two men are standing, and one is looking through binoculars.",4
Two women are standing together and one is looking through binoculars,One is looking through binoculars while two women are standing together,5,"Together, two women are standing, and one is looking through binoculars.",4
A motorcyclist on a bike is leaning into a sharp corner,"Into a sharp corner, a motorcyclist on a bike is leaning",5,"Leaning into a sharp corner, a motorcyclist on a bike is.",5
A man on a motorcycle is turning around a corner,"Around a corner, a man on a motorcycle is turning",5,"Turning around a corner, a man on a motorcycle is.",4
A man on a motorcycle is going around a corner,"Going around a corner, a man on a motorcycle is",4,Going around a corner is a man on a motorcycle.,5
A man with a backwards hat is sitting on the ground,"Sitting on the ground, a man with a backwards hat is",4,"On the ground, a man with a backwards hat is seated.",5
A young man in a white shirt and gold and black hat is sitting with crossed legs,"Sitting with crossed legs, a young man in a white shirt and gold and black hat is",4,Sitting with crossed legs is a young man in a gold and black hat and white shirt.,5
A young oriental girl is standing above the crowd and is playing with a pinwheel,"Standing above the crowd and playing with a pinwheel, a young oriental girl is",4,Playing with a pinwheel above the crowd is a young oriental girl.,5
A young occidental girl is standing above the crowd and is playing with a pinwheel,"Standing above the crowd and playing with a pinwheel, a young occidental girl is",4,Playing with a pinwheel above the crowd is a young occidental girl.,5
A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair,"Holding a multicolor toy and sitting on the shoulders of a man with grey hair, a girl in a blue sweater is",4,"On the shoulders of a man with grey hair, a girl in a blue sweater is holding a multicolor toy.",5
A young man on a bmx bicycle is jumping on a masonry pyramid,"Jumping on a masonry pyramid, a young man on a BMX bicycle is",4,Jumping on a masonry pyramid is a young man on a BMX bicycle.,5
There is no bicyclist jumping on a pyramid-shaped ramp,"Jumping on a pyramid-shaped ramp, there is no bicyclist",1,There is a bicyclist not jumping on a pyramid-shaped ramp.,2
A young man on a bmx bicycle is jumping off a masonry pyramid,"Jumping off a masonry pyramid, a young man on a BMX bicycle is",2,Jumping off a masonry pyramid is a young man on a BMX bicycle.,5
A young man on a bmx bicycle is jumping off a pyramid,"Jumping off a pyramid, a young man on a BMX bicycle is",2,Jumping off a pyramid is a young man on a BMX bicycle.,5
Two women dressed in white and black are sitting on a bench,Two benches are sitting on white and black dressed women.,2,Sitting on a bench are two women dressed in black and white.,4
Five people are standing in the grass with three dogs,Three dogs are standing in the grass with five people.,2,Three dogs are standing in the grass with five people.,3
Five people are standing with three dogs in the green field beside the road,"Beside the road, five people are standing with three dogs in the green field.",3,"Beside the road, in the green field, five people are standing with three dogs.",4
Five people are running with three dogs in the green field beside the road,"In the green field beside the road, five dogs are running with three people.",2,"In the green field beside the road, five people and three dogs are running.",3
Five people are standing in the grass with no dogs,"With no people, five dogs are standing in the grass.",1,Standing in the grass with no dogs are five people.,4
An old woman is carrying a lot of colorful scarves on the beach,"On the beach, an old woman is carrying a lot of colorful scarves.",4,"On the beach, an old woman is carrying a lot of colorful scarves.",4
A rainbow afghan is being held by a girl in gold and purple,A girl in gold and purple is being held by a rainbow afghan.,1,A girl in gold and purple is holding a rainbow afghan.,3
A man in gold and purple is holding a rainbow afghan,A rainbow afghan is being held by a man in gold and purple.,2,A rainbow afghan is being held by a man in gold and purple.,3
A girl in gold and purple is holding a rainbow afghan,A rainbow afghan is being held by a girl in gold and purple.,2,A rainbow afghan is being held by a girl in gold and purple.,3
A light brown dog is running in the water,"In the water, a light brown dog is running.",5,Running in the water is a light brown dog.,4
A tan dog is splashing in the water on the bank of a pond,"On the bank of a pond, water is splashing a tan dog.",4,"On the bank of a pond, a tan dog is splashing in the water.",5
The child is splashing water in a small blue pool,"In a small blue pool, water is splashing the child.",5,"In a small blue pool, the child is splashing water.",5
A baby is splashing inside a blue paddling pool,"Inside a blue paddling pool, a baby is splashing.",5,"Inside a blue paddling pool, a baby is splashing.",5
A grey silky dog is running in the grass and a brown dog looks on,A brown dog looks on as a grey silky dog runs in the grass.,4,Running in the grass is a grey silky dog while a brown dog looks on.,4
The brown dog is spotting a black dog and is playing in the dry grass,"Playing in the dry grass, the brown dog spots a black dog.",4,"Playing in the dry grass, the brown dog spots a black dog.",4
A man in a hat is standing outside of a green jeep,"Outside of a green jeep, a man in a hat is sitting.",2,"Outside of a green jeep, a man in a hat is standing.",3
A man is standing on a dirt hill next to a black jeep,"Next to a black jeep, a man is standing on a dirt hill.",5,"Next to a black jeep, a man is standing on a dirt hill.",5
A man with no hat is standing outside of a green jeep,"Outside of a green jeep, a man with no hat is standing.",5,"Outside of a green jeep, a man with no hat is standing.",5
A black dog and a small white and black dog are looking up at a kitchen countertop,"Looking up at a kitchen countertop, a small white and black dog and a black dog are.",4,"Looking up at a kitchen countertop, a black dog and a small white and black dog are.",4
A large dog and a small dog are standing next to the kitchen counter and are investigating,"Investigating, a large dog and a small dog are standing next to the kitchen counter.",5,"Investigating, a large dog and a small dog are standing next to the kitchen counter.",5
A dog is rolling on the ground,A ground is rolling on the dog.,1,Rolling on the ground is a dog.,2
A tan dog which is dirty is rolling in the dirt and looking right at the camera,A dirty tan camera is rolling in the dog and looking right at the dirt.,1,"Looking right at the camera, a dirty tan dog which is rolling in the dirt and wearing a brown shirt.",3
A dirty tan dog is rolling in the water and looking right at the camera,A dirty tan dog is looking right at the water and rolling in the camera.,1,"Looking right at the camera, a dirty tan dog is rolling in the water.",5
A dirty tan dog is rolling in the dirt and looking right at the camera,A dirty tan dog is looking right at the camera and rolling in the brown shirt.,1,"Looking right at the camera, a dirty tan dog is rolling in the dirt and wearing a brown shirt.",5
A man with a white hat and brown shirt is behind a woman in red and is looking to the left,The left is being looked at by a man with a brown shirt behind a woman in red and a white hat,1,"Looking to the left, a man with a brown shirt and white hat is behind a woman in red.",4
A man with a white hat and brown shirt is behind a woman in red and is looking to the right,The right is being looked at by a man with a brown shirt behind a woman in red and a white hat,1,"Looking to the right, a man with a brown shirt and white hat is behind a woman in red.",4
An Arabic man isn't wearing a white hat,A white hat is not being worn by an Arabic man,4,Not wearing a white hat is an Arabic man.,5
Little kids are playing in a water fountain in front of lots of people,Lots of people are playing in front of a water fountain with little kids,3,"In front of lots of people, little kids are playing in a water fountain.",5
Children are playing in a fountain that is spraying water from the ground,Water from the ground is being sprayed from a fountain where children are playing,4,"Spraying water from the ground, children are playing in a fountain.",5
Little boys are playing in a water fountain in front of lots of people,Lots of people are playing in a water fountain in front of little boys,2,"In front of lots of people, little boys are playing in a water fountain.",5
A person on a yellow bike is airborne,Airborne is a person on a yellow bike,1,Airborne is a person on a yellow bike.,5
A cyclist on a yellow bike is airborne,Airborne is a cyclist on a yellow bike,2,Airborne is a yellow bike cyclist.,5
There is no cyclist on a yellow bike airborne,Airborne is no cyclist on a yellow bike,0,There is no yellow bike cyclist airborne.,5
A man on a yellow dirt bike is taking a jump,Taking a jump is a man on a yellow dirt bike,1,Taking a jump is a man on a yellow dirt bike.,5
A person on a yellow clean bike is taking a jump,Taking a jump is a person on a yellow clean bike,0,Taking a jump is a person on a clean yellow bike.,5
The bicycle is being ridden by a man wearing a beret on a recreation trail,"On a recreation trail, a man wearing a beret is riding the bicycle",4,"On a recreation trail, a man wearing a beret is riding the bicycle.",4
A man is wearing a beret and is riding the bicycle on a recreation trail,"On a recreation trail, a man wearing a beret is riding the bicycle",4,Riding the bicycle on a recreation trail is a man wearing a beret.,4
A woman is wearing a beret and is riding the bicycle on a recreation trail,"On a recreation trail, a woman wearing a beret is riding the bicycle",4,Riding the bicycle on a recreation trail is a woman wearing a beret.,4
Five adults are sitting on stone steps,"On stone steps, five adults are sitting",4,"On stone steps, five adults are sitting.",5
People are sitting against a wall,A wall is sitting against people,0,"Against a wall, people are sitting.",5
Five adults are sitting on a chair,"On a chair, five adults are sitting",3,"On a chair, five adults are sitting.",5
A man is rock climbing and a city and a bay are in the background,"In the background, a city and a bay are rock climbing by a man",0,"In the background, a city and a bay are seen as a man rock climbs.",5
"A man is rock climbing, stopping and calculating the route","Stopping and calculating the route, a man is rock climbing",2,"Stopping and calculating the route, a man is rock climbing.",4
"A woman is rock climbing, pausing and calculating the route","Pausing and calculating the route, a woman is rock climbing",2,"Pausing and calculating the route, a woman is rock climbing.",5
"A man is rock climbing, pausing and calculating the route","Pausing and calculating the route, a man is rock climbing",3,"Calculating the route, a man is rock climbing and pausing.",5
A little girl is hitting a ball off a tee,"Off a tee, a little girl is hitting a ball",3,"Off a tee, a little girl is hitting a ball.",5
A little girl is missing a baseball on a tee,"On a tee, a little girl is missing a baseball",1,"Missing a baseball on a tee, a little girl is.",4
A little girl in a pink shirt is playing t-ball and taking a swing,"Playing t-ball and taking a swing, a little girl in a pink shirt is",3,"Taking a swing, a little girl in a pink shirt is playing t-ball.",5
